name,,,,,
basil leaves,mixer,lauren,"Basil (UK: /ˈbæzəl/,[1] US: /ˈbeɪzəl/;[2] Ocimum basilicum), also called great basil or Saint-Joseph's-wort, is a culinary herb of the family Lamiaceae (mints). Basil is native to tropical regions from central Africa to Southeast Asia.[3] It is a tender plant, and is used in cuisines worldwide. Depending on the species and cultivar, the leaves may taste somewhat like anise, with a strong, pungent, often sweet smell. There are many varieties of basil, as well as several related species or hybrids also called basil. The type used commonly as a flavor is typically called sweet basil (or Genovese basil), as opposed to Thai basil (O. basilicum var. thyrsiflora), lemon basil (O. × citriodorum), and holy basil (Ocimum tenuiflorum). While most common varieties of basil are treated as annuals, some are perennial in warm, tropical climates, including holy basil and a cultivar known as ""African blue basil"".",,
beets and veg juice,mixer,lauren,"Loaded with beets, kale, oranges and carrots, this juice is packed with nutrients and folate (it contains approximately 240 mcg of folate per glass, which is more than half an adult’s daily folate requirement). It’s an excellent boost for me too since I am pregnant.  Suggested daily folate consumption for adults is 400mcg per day and 600-800mcg or more if you are pregnant,  so it’s a great juice for anyone. This juice is also high in cartenoids, vitamin C, potassium, B vitamins, iron and magnesium.",,
bitter lemon,mixer,lauren,"Bitter lemon is a carbonated soft drink flavoured with quinine and lemon. The signature bitter taste is produced by a combination of quinine and lemon pith used in manufacturing the drink. The principal difference between tonic water and bitter lemon is the addition of lemon juice, pith, and peel. Bitter lemon is drunk both by itself and as a mixer, and is sold across the world.[1]",,
black pepper,mixer,lauren,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae, cultivated for its fruit, known as a peppercorn, which is usually dried and used as a spice and seasoning. When fresh and fully mature, it is about 5 mm (0.20 in) in diameter and dark red, and contains a single seed, like all drupes. Peppercorns and the ground pepper derived from them may be described simply as pepper, or more precisely as black pepper (cooked and dried unripe fruit), green pepper (dried unripe fruit), or white pepper (ripe fruit seeds). Ground dried and cooked peppercorns have been used since antiquity, both for flavour and as a traditional medicine. Black pepper is the world's most traded spice, and is one of the most common spices added to cuisines around the world. Its spiciness is due to the chemical compound piperine, which is a different kind of spicy from the capsaicin characteristic of chili peppers. It is ubiquitous in the modern world as a seasoning, and is often paired with salt and available on dining tables in shakers.",,
boiling water,mixer,lauren,"Boiling is the rapid vaporization of a liquid, which occurs when a liquid is heated to its boiling point, the temperature at which the vapour pressure of the liquid is equal to the pressure exerted on the liquid by the surrounding atmosphere. There are two main types of boiling: nucleate boiling where small bubbles of vapour form at discrete points, and critical heat flux boiling where the boiling surface is heated above a certain critical temperature and a film of vapor forms on the surface. Transition boiling is an intermediate, unstable form of boiling with elements of both types. The boiling point of water is 100 °C or 212 °F but is lower with the decreased atmospheric pressure found at higher altitudes. Boiling is also used in cooking. Foods suitable for boiling include vegetables, starchy foods such as rice, noodles and potatoes, eggs, meats, sauces, stocks, and soups. As a cooking method, it is simple and suitable for large-scale cookery. Tough meats or poultry can be given a long, slow cooking and a nutritious stock is produced. Disadvantages include loss of water-soluble vitamins and minerals. Commercially prepared foodstuffs are sometimes packed in polythene sachets and sold as ""boil-in-the-bag"" products.",,
brown sugar,mixer,lauren,"Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content (natural brown sugar), or it is produced by the addition of molasses to refined white sugar (commercial brown sugar). The Codex Alimentarius requires brown sugar to contain at least 88% of sucrose plus invert sugar.[1] Commercial brown sugar contains from 3.5% molasses (light brown sugar) to 6.5% molasses (dark brown sugar) based on total volume.[2] Based on total weight, regular commercial brown sugar contains up to 10% molasses.[3] The product is naturally moist from the hygroscopic nature of the molasses and is often labelled as ""soft."" The product may undergo processing to give a product that flows better for industrial handling. The addition of dyes or other chemicals may be permitted in some areas or for industrial products.",,
"butter, melted",mixer,lauren,"Butter (/ˈbʌtə/) is a dairy product with high butterfat content which is solid when chilled and at room temperature in some regions, and liquid when warmed. It is made by churning fresh or fermented cream or milk to separate the butterfat from the buttermilk. It is generally used as a spread on plain or toasted bread products and a condiment on cooked vegetables, as well as in cooking, such as baking, sauce making, and pan frying. Butter consists of butterfat, milk proteins and water, and often added salt. Most frequently made from cow's milk, butter can also be manufactured from the milk of other mammals, including sheep, goats, buffalo, and yaks. Salt (such as dairy salt), flavorings (such as garlic) and preservatives are sometimes added to butter. Rendering butter, removing the water and milk solids, produces clarified butter or ghee, which is almost entirely butterfat. Butter is a water-in-oil emulsion resulting from an inversion of the cream, where the milk proteins are the emulsifiers. Butter remains a firm solid when refrigerated, but softens to a spreadable consistency at room temperature, and melts to a thin liquid consistency at 32 to 35 °C (90 to 95 °F). The density of butter is 911 grams per Litre (0.950 lb per US pint).[1] It generally has a pale yellow color, but varies from deep yellow to nearly white. Its natural, unmodified color is dependent on the source animal's feed and genetics, but the commercial manufacturing process commonly manipulates the color with food colorings like annatto[2] or carotene.",,
butter,mixer,lauren,"Butter (/ˈbʌtə/) is a dairy product with high butterfat content which is solid when chilled and at room temperature in some regions, and liquid when warmed. It is made by churning fresh or fermented cream or milk to separate the butterfat from the buttermilk. It is generally used as a spread on plain or toasted bread products and a condiment on cooked vegetables, as well as in cooking, such as baking, sauce making, and pan frying. Butter consists of butterfat, milk proteins and water, and often added salt. Most frequently made from cow's milk, butter can also be manufactured from the milk of other mammals, including sheep, goats, buffalo, and yaks. Salt (such as dairy salt), flavorings (such as garlic) and preservatives are sometimes added to butter. Rendering butter, removing the water and milk solids, produces clarified butter or ghee, which is almost entirely butterfat. Butter is a water-in-oil emulsion resulting from an inversion of the cream, where the milk proteins are the emulsifiers. Butter remains a firm solid when refrigerated, but softens to a spreadable consistency at room temperature, and melts to a thin liquid consistency at 32 to 35 °C (90 to 95 °F). The density of butter is 911 grams per Litre (0.950 lb per US pint).[1] It generally has a pale yellow color, but varies from deep yellow to nearly white. Its natural, unmodified color is dependent on the source animal's feed and genetics, but the commercial manufacturing process commonly manipulates the color with food colorings like annatto[2] or carotene.",,
candy cane,garnish,lauren,"A candy cane is a cane-shaped stick candy often associated with Christmastide,[1] as well as Saint Nicholas Day.[2] It is traditionally white with red stripes and flavored with peppermint, but they also come in a variety of other flavors and colors.",,
caramel,mixer,lauren,"Caramel (/ˈkærəmɛl/, /ˈkɛrəmɛl/ or /ˈkɑːrməl/[1][2]) is a medium to dark-orange confectionery product made by heating a variety of sugars. It can be used as a flavoring in puddings and desserts, as a filling in bonbons, or as a topping for ice cream and custard. The process of caramelization consists of heating sugar slowly to around 170 °C (338 °F). As the sugar heats, the molecules break down and re-form into compounds with a characteristic color and flavor. A variety of candies, desserts, and confections are made with caramel: brittles, nougats, pralines, flan, crème brûlée, crème caramel, and caramel apples. Ice creams sometimes are flavored with or contain swirls of caramel",,
caramelised onion chutney,mixer,lauren,"Chutney is a sauce or a dry base for a sauce, originating from the Indian subcontinent, used with the cuisines of the Indian subcontinent, that can include such forms as a spicy coconut dip, a tomato relish, a ground peanut garnish or a dahi (yogurt), cucumber, and mint dip. American and European-style chutneys are usually fruit, vinegar, and sugar cooked down to a reduction, with added flavourings. These may include sugar, salt, garlic, tamarind, onion or ginger",,
crème fraîche or cream,mixer,lauren,"Crème fraîche is a dairy product, a soured cream containing 10–45% butterfat, with a pH of approximately 4.5. It is soured with a bacterial culture. European labeling regulations disallow any ingredients other than cream and bacterial culture.",,
caramel syrup,mixer,lauren,"Caramel (/ˈkærəmɛl/, /ˈkɛrəmɛl/ or /ˈkɑːrməl/[1][2]) is a medium to dark-orange confectionery product made by heating a variety of sugars. It can be used as a flavoring in puddings and desserts, as a filling in bonbons, or as a topping for ice cream and custard. The process of caramelization consists of heating sugar slowly to around 170 °C (338 °F). As the sugar heats, the molecules break down and re-form into compounds with a characteristic color and flavor. A variety of candies, desserts, and confections are made with caramel: brittles, nougats, pralines, flan, crème brûlée, crème caramel, and caramel apples. Ice creams sometimes are flavored with or contain swirls of caramel",,
cardamom pods,mixer,lauren,"Cardamom (/ˈkɑːrdəməm/), sometimes cardamon or cardamum,[1] is a spice made from the seeds of several plants in the genera Elettaria and Amomum in the family Zingiberaceae. Both genera are native to the Indian subcontinent and Indonesia. They are recognized by their small seed pods: triangular in cross-section and spindle-shaped, with a thin, papery outer shell and small, black seeds; Cardamom is the world's third-most expensive spice, surpassed in price per weight only by vanilla and saffron.[5]",,
carbonated water,mixer,lauren,"This stuff is very simply just water that has been artificially carbonated. Nothing but carbonation is added here, so there are no minerals or other additives that lead to taste differences. Seltzer is basically a blank canvas, making it a good option for mixing in flavors, like fresh lemon or lime. (La Croix is most likely seltzer with flavoring, by the way.) It gets its name from the German town of Selters, which was known for its natural springs. When European immigrants came to the U.S., they brought the popular drink over with them. It's a good, cheap alternative to real sparkling mineral water.",,
cardamom,mixer,lauren,"Cardamom (/ˈkɑːrdəməm/), sometimes cardamon or cardamum,[1] is a spice made from the seeds of several plants in the genera Elettaria and Amomum in the family Zingiberaceae. Both genera are native to the Indian subcontinent and Indonesia. They are recognized by their small seed pods: triangular in cross-section and spindle-shaped, with a thin, papery outer shell and small, black seeds; Cardamom is the world's third-most expensive spice, surpassed in price per weight only by vanilla and saffron.[5]",,
caster sugar,mixer,lauren,"""Caster sugar"" is a term used in the UK as well as the US, and in both cases, it refers to a sugar that is ground to a consistency between granulated and powdered sugar in coarseness. In the United States, caster sugar is often called superfine sugar, baker’s sugar, or bar sugar. Caster sugar has more finely ground crystals than granulated sugar, which means that it can dissolve faster than granulated sugar in creamed mixtures, whips, and more. Caster sugar is often called for in recipes for delicate baked goods like meringues, souffles, and sponge cakes. Because of its ability to dissolve easily, caster sugar is also frequently used for sweetening drinks. Many bartenders use caster sugar in place of simple syrup when making cocktails.",,
celery salt,mixer,lauren,"Celery salt is a seasoned salt used as a food seasoning, made from ground seeds, which may come from celery[1] or its relative lovage.[2] It is also sometimes produced using dried celery or seed oleoresin.[3][4] Celery salt is an ingredient of the Bloody Mary cocktail and the Caesar cocktail.[7] It is also an ingredient in KFC's secret spice mix.[8] It is also commonly used to season the Chicago-style hot dog, the New York System wiener, salads, coleslaw and stews. It is a primary ingredient in Old Bay brand seasoning.",,
cherry juice,mixer,lauren,"A popular remedy or delectable drink? Formally known as our Very Cherre Tart Cherry, our 100% Premium Tart Cherry juice blossoms with bold flavor, sweet and tart. Serve our 100% pure tart cherry juice on ice, slightly warmed or at room temperature to turn on your taste buds right down to your toes. Just 4oz of juice provides your daily recommended intake of antioxidants!",,
cherry syrup,mixer,lauren,"The just-picked flavor of ripe summer cherries brings balanced sweet, tart taste to a huge variety of drinks. Mix in our Cherry Syrup to create tasty cherry sodas, chocolate cherry mochas, or cocktails that put flavor first. Monin Cherry Syrup adds sweet, juicy flavor",,
chocolate ice cream,mixer,lauren,"Chocolate ice cream is ice cream with natural or artificial chocolate flavoring. Chocolate is the second most common flavor of ice cream in the United States, after vanilla, Chocolate ice cream is generally made by blending cocoa powder along with the eggs, cream, vanilla and sugar used to make vanilla ice cream.",,
chocolate milk,mixer,lauren,"Chocolate milk is sweetened chocolate-flavored milk. It can be made by mixing chocolate syrup (or chocolate powder) with milk (from cows, goats, soy, rice, etc.). It can be purchased pre-mixed with milk or made at home by blending milk with cocoa powder and a sweetener (such as sugar or a sugar substitute), melted chocolate, chocolate syrup, or a pre-made powdered chocolate milk mix. The nutritional qualities of chocolate milk are the subject of debate: while some studies criticize the high sugar content of chocolate milk, other studies suggest that chocolate milk is nutritionally superior to white milk.",,
chocolate spread,mixer,lauren,"Chocolate spread is a sweet chocolate-flavored paste which is eaten mostly spread on breads and toasts or similar grain items such as waffles, pancakes, muffins, and pitas. Although it tastes, smells, and looks like chocolate, it does not solidify, even at room temperature. The paste usually contains cocoa and vegetable or palm oil, and is also likely to contain milk, sugar and additional flavors.[5][6] Some varieties include nuts (e.g., ground hazelnuts) or honey.[7][8] Chocolate spread is normally sold in glass jars or plastic tubs.",,
chocolate powder,mixer,lauren,"Dry cocoa powder is the constituent of cocoa beans remaining after cocoa butter, the fat component, is extracted from chocolate liquor, roasted cocoa beans that have been ground into a liquid state. Cocoa butter is 50% to 57% of the weight of cocoa beans and gives chocolate its characteristic melting properties. Cocoa powder is the powdered form of the solids sold as an end product.",,
chocolate syrup,mixer,lauren,"Chocolate syrup is a sweet, chocolate-flavored condiment. It is often used as a topping or dessert sauce for various desserts, such as ice cream, or mixed with milk to make chocolate milk or blended with milk and ice cream to make a chocolate milkshake. Chocolate syrup is sold in a variety of consistencies, ranging from a thin liquid that can be drizzled from a bottle to a thick sauce that needs to be spooned onto the dessert item. Chocolate syrup is also used to top puddings and cakes. Some restaurants use an artistic drizzling of chocolate syrup to decorate servings of cheesecake or cake, along with other decorations such as cocoa powder, powdered sugar or chocolate shavings. Some brands of chocolate syrup are marketed as chocolate milk syrup (e.g., Nesquik). Other brands are marketed as ice cream sundae toppings.",,
chopped mango,mixer,lauren,"Mangoes are juicy stone fruit (drupe) from numerous species of tropical trees belonging to the flowering plant genus Mangifera, cultivated mostly for their edible fruit. The majority of these species are found in nature as wild mangoes. The genus belongs to the cashew family Anacardiaceae. Mangoes are native to South Asia,[1][2] from where the ""common mango"" or ""Indian mango"", Mangifera indica, has been distributed worldwide to become one of the most widely cultivated fruits in the tropics. Other Mangifera species (e.g. horse mango, Mangifera foetida) are grown on a more localized basis. It is the national fruit of India and Pakistan, and the national tree of Bangladesh.[3] It is the unofficial national fruit of the Philippines.",,
cinnamon,mixer,lauren,"Cinnamon (/ˈsɪnəmən/ SIN-ə-mən) is a spice obtained from the inner bark of several tree species from the genus Cinnamomum. Cinnamon is used mainly as an aromatic condiment and flavouring additive in a wide variety of cuisines, sweet and savoury dishes, breakfast cereals, snackfoods, tea and traditional foods. The aroma and flavour of cinnamon derive from its essential oil and principal component, cinnamaldehyde, as well as numerous other constituents, including eugenol.",,
cinnamon powder,mixer,lauren,"Cinnamon (/ˈsɪnəmən/ SIN-ə-mən) is a spice obtained from the inner bark of several tree species from the genus Cinnamomum. Cinnamon is used mainly as an aromatic condiment and flavouring additive in a wide variety of cuisines, sweet and savoury dishes, breakfast cereals, snackfoods, tea and traditional foods. The aroma and flavour of cinnamon derive from its essential oil and principal component, cinnamaldehyde, as well as numerous other constituents, including eugenol.",,
cloudy apple juice,mixer,lauren,"cloudy apple juice has more antioxidants, or chemicals that help control free radical molecules that can damage cells and cause disease, than the clear stuff. When clear apple juice is produced, an enzyme is introduced that essentially strips the juice of its natural antioxidants. Cloudy juice doesn’t use this enzyme, so it packs a better antioxidant punch. Cloudy apple juice appears as such, because of apple solids present in the liquid. This solid material is composed of small apple particles that are strained out in clear juice. It’s these solids that contain the antioxidants.",,
cloudy lemonade,mixer,lauren,"The predominant form of lemonade found in the US, Canada, and India, cloudy lemonade, also known as ""traditional lemonade"" in the UK and Australia, is typically non-carbonated and made with fresh lemon juice; however commercially produced varieties are also available. Generally served cold, cloudy lemonade may also be served hot as a remedy for congestion and sore throats,[13] frozen, or used as a mixer.",,
clove crushed garlic,garnish,lauren,"Garlic (Allium sativum) is a species in the onion genus, Allium. Its close relatives include the onion, shallot, leek, chive,[2] and Chinese onion.[3]",,
coconut cream,mixer,lauren,"Coconut milk is an opaque milky white liquid extracted from the grated pulp of mature coconuts.[1] The opacity and rich taste of coconut milk are due to its high oil content, most of which is saturated fat. Coconut milk is a traditional food ingredient used in Southeast Asia, Oceania, South Asia, and East Africa. It is also used for cooking in the Caribbean, tropical Latin America, and West Africa, where coconuts were introduced during the colonial era. Coconut milk is differentiated into subtypes based on fat content. They can be generalized to coconut cream (or thick coconut milk) with the highest amount of fat; coconut milk (or thin coconut milk) with a maximum of around 20% fat; and coconut skim milk with negligible amounts of fat.",,
clove,mixer,lauren,"Cloves are the aromatic flower buds of a tree in the family Myrtaceae, Syzygium aromaticum. They are native to the Maluku Islands (or Moluccas) in Indonesia, and are commonly used as a spice. Cloves are used in the cuisine of Asian, African, and the Near and Middle East countries, lending flavor to meats, curries, and marinades, as well as fruit such as apples, pears or rhubarb. Cloves may be used to give aromatic and flavor qualities to hot beverages, often combined with other ingredients such as lemon and sugar. They are a common element in spice blends such as pumpkin pie spice and speculoos spices.",,
cloves,mixer,lauren,"Cloves are the aromatic flower buds of a tree in the family Myrtaceae, Syzygium aromaticum. They are native to the Maluku Islands (or Moluccas) in Indonesia, and are commonly used as a spice. Cloves are used in the cuisine of Asian, African, and the Near and Middle East countries, lending flavor to meats, curries, and marinades, as well as fruit such as apples, pears or rhubarb. Cloves may be used to give aromatic and flavor qualities to hot beverages, often combined with other ingredients such as lemon and sugar. They are a common element in spice blends such as pumpkin pie spice and speculoos spices.",,
cocoa powder,mixer,lauren,"Dry cocoa powder is the constituent of cocoa beans remaining after cocoa butter, the fat component, is extracted from chocolate liquor, roasted cocoa beans that have been ground into a liquid state. Cocoa butter is 50% to 57% of the weight of cocoa beans and gives chocolate its characteristic melting properties. Cocoa powder is the powdered form of the solids sold as an end product.",,
coconut milk,mixer,lauren,"Coconut milk is an opaque milky white liquid extracted from the grated pulp of mature coconuts.[1] The opacity and rich taste of coconut milk are due to its high oil content, most of which is saturated fat. Coconut milk is a traditional food ingredient used in Southeast Asia, Oceania, South Asia, and East Africa. It is also used for cooking in the Caribbean, tropical Latin America, and West Africa, where coconuts were introduced during the colonial era.",,
coconut water,mixer,lauren,"Coconut water, less commonly coconut juice, is the clear liquid inside coconuts (fruits of the coconut palm). In early development, it serves as a suspension for the endosperm of the coconut during the nuclear phase of development. As growth continues, the endosperm matures into its cellular phase and deposits into the rind of the coconut pulp.[1] The liquid inside young coconuts is often preferred to the liquid of a ripened coconut. Plain coconut water has long been a popular drink in tropical countries, where it is available fresh, canned, or bottled.",,
coffee liqueur,mixer,ian,"A liqueur coffee is a coffee drink with a shot of liqueur. It may be served in a special liqueur coffee glass, often with cream and sugar. Liqueur coffee are all variants on what is widely known as Irish coffee, hot coffee with whiskey and a layer of cream (not whipped) floated on top. Liqueur coffee is particularly popular in Galicia, Spain, where it is considered a traditional drink. Widely known throughout Spain as carajillo, it is made from a blend of coffee, sugar, and strong alcohol such as aguardiente, orujo, or rum.",,
coffee,mixer,ian,"Coffee is darkly colored, bitter, slightly acidic and has a stimulating effect in humans, primarily due to its caffeine content.[3] It is one of the most popular drinks in the world,[4] and it can be prepared and presented in a variety of ways (e.g., espresso, French press, caffè latte). It is usually served hot, although iced coffee is a popular alternative. Clinical studies indicate that moderate coffee consumption is benign or mildly beneficial in healthy adults, with continuing research on whether long-term consumption lowers the risk of some diseases, although those long-term studies are of generally poor quality.",,
coriander seed syrup,mixer,ian,"The dry fruits are known as coriander seeds. The word ""coriander"" in food preparation may refer solely to these seeds (as a spice), rather than to the plant. The seeds have a lemony citrus flavour when crushed, due to terpenes linalool and pinene. It is described as warm, nutty, spicy, and orange-flavoured.",,
cranberry jelly,mixer,ian,"Cranberry sauce or cranberry jam[1] is a sauce or relish made out of cranberries, commonly served as a condiment with Thanksgiving dinner in North America and Christmas dinner in the United Kingdom and Canada. There are differences in flavor depending on the geography of where the sauce is made: in Europe it is generally slightly sour-tasting, while in North America it is typically more heavily sweetened.",,
cranberry juice,mixer,ian,"Cranberry juice is the juice of the cranberry. The term ""cranberry juice cocktail"" refers to products that contain about 28% cranberry juice and the remainder either other fruit juices (typically grape, apple and/or pear) or water with sugar added. There are also low-calorie versions that use non-caloric sweeteners.",,
cranberry sauce,mixer,ian,"Cranberry sauce or cranberry jam[1] is a sauce or relish made out of cranberries, commonly served as a condiment with Thanksgiving dinner in North America and Christmas dinner in the United Kingdom and Canada. There are differences in flavor depending on the geography of where the sauce is made: in Europe it is generally slightly sour-tasting, while in North America it is typically more heavily sweetened.",,
cream of coconut,mixer,ian,"Cream of coconut is a thick, heavily sweetened processed coconut milk product resembling condensed milk.[33] It is originally produced by the Puerto Rican company Coco López and is used most notably in piña coladas in the United States. It can also be used for other cocktail drinks and various desserts. It should not be confused with or used as a substitute for coconut cream",,
cream,mixer,ian,"Cream is a dairy product composed of the higher-butterfat layer skimmed from the top of milk before homogenization. In un-homogenized milk, the fat, which is less dense, eventually rises to the top. In the industrial production of cream, this process is accelerated by using centrifuges called ""separators"". In many countries, it is sold in several grades depending on the total butterfat content. It can be dried to a powder for shipment to distant markets, and contains high levels of saturated fat.[1][2]",,
cola,mixer,ian,"Cola is a sweetened, carbonated soft drink flavored with vanilla, cinnamon, citrus oils and other flavorings. Most contain caffeine, which was originally sourced from the kola nut, leading to the drink's name, though other sources are now also used. Cola became popular worldwide after pharmacist John Pemberton invented Coca-Cola in 1886.[3][4] His non-alcoholic recipe was inspired by the coca wine of pharmacist Angelo Mariani, created in 1863.[4]",,
cracked black pepper,mixer,ian,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae, cultivated for its fruit, known as a peppercorn, which is usually dried and used as a spice and seasoning. When fresh and fully mature, it is about 5 mm (0.20 in) in diameter and dark red, and contains a single seed, like all drupes. Peppercorns and the ground pepper derived from them may be described simply as pepper, or more precisely as black pepper (cooked and dried unripe fruit), green pepper (dried unripe fruit), or white pepper (ripe fruit seeds). Ground dried and cooked peppercorns have been used since antiquity, both for flavour and as a traditional medicine. Black pepper is the world's most traded spice, and is one of the most common spices added to cuisines around the world. Its spiciness is due to the chemical compound piperine, which is a different kind of spicy from the capsaicin characteristic of chili peppers. It is ubiquitous in the modern world as a seasoning, and is often paired with salt and available on dining tables in shakers.",,
cucumber water,mixer,ian,"Cucumber water is a cheap, quick, and flavorful way to drink and enjoy water. Cucumbers contain a range of vitamins, antioxidants, and other nutrients that might help prevent a variety of conditions, including cancer and diabetes, as well as keeping bones, skin, and muscles healthy",,
